soil_moisture,temperature,air_humidity,wind_speed,time_of_day,water_given_ml,water_needed,heat_index,is_dry,rain_next_hour_1,time_group_Morning,time_group_Afternoon,time_group_Evening,time_group_Late Night
0.414,0.17200000000000004,0.318051575931232,0.925,21,0.0,0,0.24502578796561603,0,True,False,False,True,False
0.812,0.32000000000000006,0.7063037249283667,0.9650000000000001,23,0.0,0,0.5131518624641833,0,False,False,False,False,True
0.538,0.15600000000000003,0.9326647564469912,0.205,16,100.7,1,0.5443323782234957,0,False,False,True,False,False
0.21399999999999997,0.28800000000000003,0.7693409742120341,0.11499999999999999,2,0.0,0,0.528670487106017,1,True,False,False,False,False
0.2,0.14,0.31232091690544406,0.255,18,121.0,1,0.22616045845272204,1,False,False,False,True,False
0.316,0.30400000000000005,0.4584527220630371,0.095,18,146.1,1,0.3812263610315186,0,False,False,False,True,False
0.722,0.32799999999999996,0.7263610315186244,0.17500000000000002,2,0.0,0,0.5271805157593121,0,True,False,False,False,False
0.8260000000000001,0.872,0.12464183381088823,0.645,6,0.0,0,0.4983209169054441,0,False,True,False,False,False
0.782,0.236,0.38681948424068757,0.25,6,0.0,0,0.3114097421203438,0,False,True,False,False,False
0.9140000000000001,0.3440000000000001,0.9197707736389682,0.16000000000000003,5,0.0,0,0.6318853868194841,0,False,False,False,False,False
0.72,0.19599999999999995,0.7492836676217765,0.58,19,0.0,0,0.4726418338108882,0,True,False,False,True,False
0.6659999999999999,0.33599999999999997,0.6346704871060171,0.455,14,0.0,0,0.48533524355300856,0,True,False,True,False,False
0.39599999999999996,0.628,0.002865329512893977,0.7000000000000001,9,0.0,0,0.315432664756447,0,True,True,False,False,False
0.458,0.21200000000000008,0.24498567335243548,0.525,6,0.0,0,0.22849283667621778,0,True,True,False,False,False
0.8420000000000001,0.912,0.13037249283667618,0.44500000000000006,23,0.0,0,0.5211862464183381,0,False,False,False,False,True
0.338,0.7319999999999999,0.41260744985673337,0.05,7,0.0,0,0.5723037249283667,0,True,True,False,False,False
0.07,0.12,0.4999999999999999,0.11499999999999999,15,0.0,0,0.30999999999999994,1,True,False,True,False,False
0.6599999999999999,0.24,0.35100286532951286,0.265,7,0.0,0,0.2955014326647564,0,True,True,False,False,False
0.5940000000000001,0.896,0.09169054441260738,0.31000000000000005,21,57.4,1,0.4938452722063037,0,False,False,False,True,False
0.15399999999999997,0.348,0.5773638968481374,0.875,14,0.0,0,0.4626819484240687,1,True,False,True,False,False
0.15799999999999997,0.41600000000000004,0.2535816618911173,0.7450000000000001,5,94.5,1,0.33479083094555867,1,False,False,False,False,False
0.698,0.7200000000000001,0.7722063037249283,0.485,12,0.0,0,0.7461031518624641,0,False,False,True,False,False
0.992,0.92,0.8567335243553007,0.325,20,0.0,0,0.8883667621776503,0,True,False,False,True,False
0.5780000000000001,0.672,0.26361031518624634,0.8050000000000002,0,0.0,0,0.4678051575931232,0,True,False,False,False,False
